"REF_DATE","GEO","DGUID","Distribution","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016-01","Quebec","2016A000224","Deliveries to industrial consumers","Cubic metres","Cubic metres","72","thousands","3","v107028695","4.1.1","311443.0","","","","1"
"2016-01","Quebec","2016A000224","Deliveries to industrial consumers","Gigajoules","Gigajoules","143","thousands","3","v107028696","4.1.2","11802.4","","","","1"
"2016-01","Quebec","2016A000224","Deliveries to industrial consumers","Canadian dollars","Canadian dollars","47","thousands","3","v107028697","4.1.3","54036.3","","","","1"
"2016-01","Quebec","2016A000224","Deliveries to industrial consumers","Customers","Customers","76","units","0","v1062314469","4.1.4","7132","","","","0"
"2016-01","Quebec","2016A000224","Deliveries to commercial and institutional consumers","Cubic metres","Cubic metres","72","thousands","3","v107028698","4.2.1","260743.0","","","","1"
"2016-01","Quebec","2016A000224","Deliveries to commercial and institutional consumers","Gigajoules","Gigajoules","143","thousands","3","v107028699","4.2.2","9885.1","","","","1"
"2016-01","Quebec","2016A000224","Deliveries to commercial and institutional consumers","Canadian dollars","Canadian dollars","47","thousands","3","v107028700","4.2.3","91850.5","","","","1"
"2016-01","Quebec","2016A000224","Deliveries to commercial and institutional consumers","Customers","Customers","76","units","0","v1062314470","4.2.4","49551","","","","0"
"2016-01","Quebec","2016A000224","Deliveries to residential consumers","Cubic metres","Cubic metres","72","thousands","3","v107028701","4.3.1","98660.0","","","","1"
"2016-01","Quebec","2016A000224","Deliveries to residential consumers","Gigajoules","Gigajoules","143","thousands","3","v107028702","4.3.2","3744.5","","","","1"
"2016-01","Quebec","2016A000224","Deliveries to residential consumers","Canadian dollars","Canadian dollars","47","thousands","3","v107028703","4.3.3","44397.1","","","","1"
"2016-01","Quebec","2016A000224","Deliveries to residential consumers","Customers","Customers","76","units","0","v1062314471","4.3.4","146654","","","","0"
"2016-01","Ontario","2016A000235","Deliveries to industrial consumers","Cubic metres","Cubic metres","72","thousands","3","v107028704","5.1.1","1064540.0","","","","1"
"2016-01","Ontario","2016A000235","Deliveries to industrial consumers","Gigajoules","Gigajoules","143","thousands","3","v107028705","5.1.2","41038.0","","","","1"
